,PDBname,affinity
0,3zzf,0.4
1,3gww,0.45
2,1w8l,0.49
3,3fqa,0.49
4,1zsb,0.6
5,6h9v,0.66
6,4obv,0.75
7,1wkm,0.82
8,3k41,0.82
9,4eu3,0.82
10,2w97,0.96
11,1p0y,1.0
12,2b1r,1.0
13,2d2v,1.0
14,1aw1,1.05
15,1maw,1.1
16,3fl9,1.11
17,5eb2,1.11
18,4lh2,1.24
19,4to8,1.24
20,4fci,1.26
21,4fck,1.26
22,4clp,1.27
23,1f9g,1.28
24,1a0t,1.3
25,1b74,1.3
26,2fah,1.3
27,5oxm,1.3
28,2igw,1.31
29,5mnc,1.31
30,5mny,1.31
31,5moo,1.31
32,2vl1,1.35
33,3nm6,1.35
34,1qpb,1.36
35,6k2n,1.36
36,1hty,1.4
37,1o4l,1.4
38,1o4m,1.4
39,1o4n,1.4
40,2hdq,1.4
41,3eor,1.4
42,3e81,1.43
43,1ozv,1.44
44,1utp,1.44
45,5eb3,1.45
46,1tnk,1.49
47,4bh4,1.49
48,5vqe,1.49
49,4lh3,1.52
50,5ct1,1.52
51,5ele,1.52
52,3mwe,1.54
53,4amw,1.55
54,1iig,1.57
55,3rup,1.57
56,5cs5,1.58
57,5ofv,1.58
58,2b1q,1.59
59,1w8m,1.6
60,3itc,1.6
61,2it4,1.62
62,5k5c,1.62
63,1a7t,1.64
64,4d63,1.64
65,1hgj,1.66
66,1rdj,1.66
67,2o9r,1.68
68,4qsw,1.68
69,2sfp,1.7
70,3gf2,1.7
71,3oay,1.7
72,4tyb,1.7
73,6cex,1.7
74,6cf5,1.7
75,3g6m,1.71
76,2hdr,1.72
77,3ern,1.72
78,3vzg,1.72
79,3zst,1.72
80,5y61,1.72
81,1u2y,1.74
82,4qsx,1.74
83,5y62,1.74
84,5ggj,1.75
85,5zef,1.75
86,4bgx,1.77
87,3f39,1.78
88,5ggl,1.78
89,2zgm,1.79
90,1ga8,1.8
91,3rxh,1.8
92,1af6,1.82
93,1bra,1.82
94,1d5r,1.82
95,1y1m,1.82
96,3eqb,1.82
97,4ahv,1.82
98,1rdn,1.84
99,1fd7,1.85
100,3khv,1.85
101,1mwt,1.88
102,1tnl,1.88
103,2ay2,1.88
104,4x8s,1.89
105,1f2p,1.9
106,4mrh,1.9
107,1f2o,1.91
108,1efi,1.92
109,3ehn,1.92
110,4bh3,1.92
111,2rjr,1.94
112,5nn4,1.94
113,4mrf,1.95
114,6abk,1.95
115,1tnj,1.96
116,2gga,1.96
117,5oxn,1.96
118,1wdq,1.98
119,6h7u,1.98
120,6hzp,1.98
121,3i3d,1.99
122,1gbt,2.0
123,1ing,2.0
124,2bmv,2.0
125,2hds,2.0
126,2r58,2.0
127,3c2f,2.0
128,3g2y,2.0
129,3pce,2.0
130,3rv3,2.0
131,4awj,2.0
132,4ctk,2.0
133,4kz5,2.0
134,4qsu,2.0
135,4qsv,2.0
136,4u58,2.0
137,4y4g,2.0
138,6evq,2.0
139,6ra1,2.0
140,4ty8,2.03
141,5ekx,2.03
142,5nzq,2.03
143,2ks9,2.04
144,1jfh,2.05
145,4e4a,2.05
146,4ty9,2.05
147,4x8t,2.05
148,5eiw,2.05
149,1qq9,2.06
150,1rdi,2.06
151,2zg3,2.06
152,4u54,2.06
153,3ao4,2.07
154,4b0c,2.07
155,3rxp,2.08
156,5tyh,2.08
157,1njj,2.1
158,2zg1,2.1
159,4aml,2.1
160,4cs9,2.1
161,6r49,2.1
162,3uf9,2.11
163,6aao,2.11
164,1qx1,2.12
165,2w8w,2.12
166,3gv9,2.12
167,6r9u,2.12
168,1p2g,2.13
169,6gz9,2.13
170,6abx,2.14
171,6dim,2.14
172,6djd,2.14
173,1uxb,2.15
174,3rxg,2.15
175,4b0j,2.15
176,4q90,2.15
177,5cs3,2.15
178,6fap,2.15
179,6fi1,2.15
180,6r9s,2.15
181,2ay9,2.16
182,4tim,2.16
183,5fe6,2.16
184,6ghj,2.16
185,3gqz,2.17
186,4y3j,2.17
187,5oxk,2.17
188,5z5f,2.17
189,6gmx,2.17
190,3l7d,2.18
191,6g47,2.18
192,4ahr,2.19
193,4ahs,2.19
194,4amx,2.19
195,4jdf,2.19
196,4mre,2.19
197,5nzp,2.19
198,1w1v,2.2
199,2vvo,2.2
200,4eh8,2.2
201,1x8d,2.21
202,4g0z,2.21
203,1icj,2.22
204,1m0n,2.22
205,2aac,2.22
206,4aci,2.22
207,4uru,2.22
208,4ury,2.22
209,4x11,2.22
210,5fsb,2.22
211,5hcl,2.22
212,5jqb,2.22
213,1ajp,2.23
214,2igv,2.23
215,3ao5,2.23
216,3i3b,2.23
217,1rdl,2.24
218,2ay8,2.24
219,2os9,2.24
220,5f6v,2.24
221,5m9w,2.24
222,5nzo,2.24
223,1ukt,2.25
224,1ew8,2.26
225,3ao1,2.26
226,4eh9,2.26
227,4np2,2.26
228,5v6u,2.26
229,1hge,2.27
230,1uto,2.27
231,4ahu,2.27
232,4mfe,2.27
233,1ps3,2.28
234,2rjs,2.28
235,3fu0,2.28
236,3ip8,2.28
237,2ay1,2.29
238,4ddk,2.29
239,4ehv,2.29
240,5fnj,2.29
241,1hyv,2.3
242,1inh,2.3
243,1jdj,2.3
244,1n1g,2.3
245,1o4g,2.3
246,1uxa,2.3
247,1w1p,2.3
248,2ay7,2.3
249,2hdu,2.3
250,2xix,2.3
251,2xlc,2.3
252,3dyo,2.3
253,3kgq,2.3
254,3mhw,2.3
255,3pcg,2.3
256,3rv4,2.3
257,4b6e,2.3
258,4e3d,2.3
259,4g0y,2.3
260,4jsz,2.3
261,4led,2.3
262,4wh7,2.3
263,5enc,2.3
264,5eni,2.3
265,5enj,2.3
266,5g42,2.3
267,6au2,2.3
268,6gmq,2.3
269,1m0o,2.31
270,4y0a,2.31
271,5mz8,2.31
272,2qve,2.32
273,5aol,2.32
274,1z6d,2.34
275,4iie,2.34
276,5elf,2.34
277,1qi0,2.35
278,3gtc,2.35
279,4k3k,2.35
280,4y3y,2.35
281,1o4j,2.36
282,3g2z,2.36
283,5fsc,2.36
284,3t0d,2.37
285,4jck,2.37
286,6rnt,2.37
287,3f6e,2.38
288,4aj2,2.38
289,6md8,2.38
290,1f73,2.39
291,1nwl,2.39
292,4nyt,2.39
293,4tya,2.39
294,2wi1,2.4
295,3dxg,2.4
296,3l7b,2.4
297,3pcb,2.4
298,3t2t,2.4
299,4u5l,2.4
300,4y38,2.4
301,4zsm,2.4
302,1o4r,2.41
303,2wsx,2.41
304,4u5s,2.41
305,6aaq,2.41
306,4u5o,2.42
307,5os3,2.43
308,6mli,2.43
309,1o4h,2.44
310,1oba,2.44
311,1t4s,2.44
312,2i2b,2.44
313,2xiy,2.44
314,3ked,2.44
315,3l7c,2.44
316,3mjl,2.44
317,4d62,2.44
318,1gbq,2.46
319,1o4o,2.46
320,2aez,2.46
321,3l79,2.46
322,4ah9,2.46
323,4ddm,2.46
324,4eh6,2.46
325,4x8u,2.46
326,5aqh,2.46
327,1tok,2.47
328,1utl,2.47
329,3rik,2.47
330,4gne,2.47
331,4y4j,2.47
332,5dv4,2.47
333,5jal,2.47
334,6fhq,2.47
335,1gyx,2.48
336,4u5n,2.48
337,4ze6,2.48
338,5mn1,2.48
339,5mnb,2.48
340,5mnx,2.48
341,5mon,2.48
342,1o4q,2.49
343,4efk,2.49
344,4ej2,2.49
345,4kz7,2.49
346,6c3n,2.49
347,1ai4,2.5
348,3g30,2.51
349,4ctj,2.51
350,6dji,2.51
351,1rq2,2.52
352,1wdr,2.52
353,3ad7,2.52
354,3bf1,2.52
355,3fq7,2.52
356,3gr2,2.52
357,3mfv,2.52
358,3vdb,2.52
359,4e3f,2.52
360,4g0q,2.52
361,4urz,2.52
362,5f6d,2.52
363,5f6u,2.52
364,4hj2,2.53
365,1iup,2.54
366,1il3,2.55
367,1kf0,2.55
368,3b3s,2.55
369,3ovn,2.55
370,5eif,2.55
371,5n53,2.55
372,5os0,2.55
373,1gwv,2.57
374,2ria,2.57
375,2wq4,2.57
376,3kgp,2.57
377,5v4q,2.57
378,6poq,2.57
379,2ay5,2.59
380,2jst,2.59
381,3gvb,2.59
382,4o3a,2.59
383,4o3c,2.59
384,4wef,2.59
385,5tpb,2.59
386,1o4p,2.6
387,2c4v,2.6
388,2r5a,2.6
389,3gwv,2.6
390,3rxf,2.6
391,4up5,2.6
392,5g46,2.6
393,6mia,2.6
394,1cze,2.62
395,1w1y,2.62
396,2kfh,2.62
397,3f37,2.62
398,3f38,2.62
399,3fk1,2.62
400,3rxl,2.62
401,4lnf,2.62
402,4lno,2.62
403,5foo,2.62
404,5lvd,2.62
405,1ajn,2.63
406,1g5f,2.64
407,1o4i,2.64
408,3p1d,2.64
409,4i8x,2.64
410,4q7w,2.64
411,4q8y,2.64
412,4ufl,2.64
413,6fhu,2.64
414,5ey0,2.65
415,1il5,2.66
416,3a1e,2.66
417,3rxb,2.66
418,4y2p,2.66
419,5eld,2.66
420,3lvw,2.67
421,6prt,2.67
422,1hgi,2.68
423,1o8b,2.68
424,2q72,2.68
425,3rxk,2.68
426,4b3c,2.68
427,4b3d,2.68
428,5aqj,2.68
429,5aqp,2.68
430,3elc,2.69
431,4usw,2.69
432,5k5s,2.69
433,1br5,2.7
434,1gym,2.7
435,1lt5,2.7
436,1tc1,2.7
437,1ylv,2.7
438,2fzc,2.7
439,2ha4,2.7
440,2krd,2.7
441,2ohk,2.7
442,2ow6,2.7
443,2uyn,2.7
444,3bra,2.7
445,3ftz,2.7
446,3fud,2.7
447,3fuf,2.7
448,3fuh,2.7
449,3gk2,2.7
450,3gsg,2.7
451,3hvg,2.7
452,3rqw,2.7
453,3sl0,2.7
454,3zsw,2.7
455,3zsz,2.7
456,3zt1,2.7
457,4h4b,2.7
458,4okp,2.7
459,4old,2.7
460,4wks,2.7
461,4ypf,2.7
462,4yrc,2.7
463,4yrg,2.7
464,4yrr,2.7
465,5aok,2.7
466,6fty,2.7
467,6nmb,2.7
468,4kpz,2.71
469,6poh,2.71
470,1pfu,2.72
471,2rkd,2.72
472,3p4r,2.72
473,5fsx,2.72
474,6dih,2.72
475,1dg9,2.74
476,2qwb,2.74
477,2vyt,2.74
478,4m6u,2.74
479,4ndu,2.74
480,5os2,2.74
481,6a9c,2.74
482,1rql,2.75
483,5oyd,2.75
484,6aan,2.75
485,1ny2,2.76
486,4bt5,2.76
487,5er4,2.76
488,2bet,2.77
489,2p3o,2.77
490,3fcq,2.77
491,3l0n,2.77
492,4a4h,2.77
493,4g5y,2.77
494,4kz3,2.77
495,4urv,2.77
496,4ykk,2.77
497,5aqn,2.77
498,5oug,2.77
499,6er4,2.77
500,6g24,2.77
501,2yiv,2.78
502,3ftw,2.78
503,4yrt,2.78
504,5os4,2.78
505,6aad,2.79
506,2bge,2.8
507,2bza,2.8
508,3zt4,2.8
509,4kz8,2.8
510,4urw,2.8
511,4yw2,2.8
512,5fbi,2.8
513,5fov,2.8
514,5hki,2.8
515,5ofw,2.8
516,5zee,2.8
517,6rqk,2.8
518,3djx,2.81
519,4eh4,2.81
520,4oyt,2.81
521,4rrg,2.81
522,1czc,2.82
523,1p17,2.82
524,2a3a,2.82
525,2rib,2.82
526,2w6z,2.82
527,2xj0,2.82
528,2yc0,2.82
529,3fue,2.82
530,3lka,2.82
531,3ppr,2.82
532,4dsu,2.82
533,4k7i,2.82
534,4pb1,2.82
535,4z46,2.82
536,5aip,2.82
537,6cw4,2.82
538,6evm,2.82
539,6mj7,2.82
540,6quw,2.82
541,4yz5,2.83
542,3fu3,2.84
543,3moh,2.84
544,3zt2,2.84
545,4cgj,2.84
546,1il4,2.85
547,2a29,2.85
548,2ork,2.85
549,3atk,2.85
550,3k3g,2.85
551,3rxa,2.85
552,3udh,2.85
553,4luv,2.85
554,4mlt,2.85
555,4x47,2.85
556,4ym2,2.85
557,5aqo,2.85
558,5th4,2.85
559,6jjm,2.85
560,3qx8,2.86
561,3zt3,2.86
562,4ouj,2.86
563,4pd5,2.86
564,5z1c,2.86
565,4fgz,2.87
566,5thj,2.87
567,1e34,2.88
568,2woq,2.88
569,4a4f,2.88
570,4ucv,2.88
571,1cet,2.89
572,1iih,2.89
573,1ugp,2.89
574,2k2r,2.89
575,2wpb,2.89
576,2wtx,2.89
577,3f36,2.89
578,3g31,2.89
579,4b35,2.89
580,4cd8,2.89
581,4gqq,2.89
582,4kzb,2.89
583,4llx,2.89
584,4u5u,2.89
585,4urx,2.89
586,5aes,2.89
587,5flt,2.89
588,5ngz,2.89
