id_name,true affinity,predict affinity
1c5z,4.01,3.1980264
1o5b,5.77,4.517008
3aru,3.22,4.7892675
3arv,5.64,5.2242155
3ary,6.0,4.8228316
3d6q,3.76,4.054839
3dxg,2.4,4.2007465
3f3a,4.19,5.7193794
3g2n,4.09,4.283622
3l7b,2.4,5.1327767
3nw9,9.0,7.310297
3pxf,4.43,4.710754
3syr,5.1,4.723438
4de3,5.52,5.0860224
4dli,5.62,5.56229
4eky,3.52,5.549361
4m0z,5.19,6.4630013
4u4s,2.92,5.3861265
4x6p,8.3,8.22704
1bcu,3.28,5.459511
1bzc,4.92,6.032028
1eby,9.7,8.468664
1g2k,7.96,8.555411
1gpn,6.48,7.08984
1h22,9.1,7.890466
1h23,8.35,7.8141866
1nvq,8.25,8.199181
1o0h,5.92,4.953417
1p1n,6.8,6.3399076
1q8t,4.76,6.2945175
1q8u,5.96,6.588356
1r5y,6.46,5.798258
1sqa,9.21,7.1589003
1u1b,7.8,5.823988
1vso,4.72,6.0702257
1w4o,5.22,4.5841317
1y6r,10.11,9.155277
1yc1,6.17,6.810787
2j78,6.42,5.507922
2qbp,8.4,6.6389318
2qbq,7.44,6.4830856
2qe4,7.96,7.7955246
2r9w,5.1,5.0479937
2v7a,8.3,7.785845
2vw5,8.52,6.244939
2wbg,4.45,6.487055
2weg,6.5,7.257966
2xbv,8.43,8.195519
2xdl,3.1,5.2840977
2xii,7.2,7.496374
2xnb,6.83,6.671048
2xys,7.42,6.5995965
2zcr,6.87,6.5862436
2zda,8.4,7.4045367
3ag9,8.05,7.029952
3arp,7.15,6.711839
3b27,5.16,5.8220506
3b5r,8.77,8.519305
3b65,9.27,8.281575
3bgz,6.26,6.6099706
3dd0,9.0,8.032016
3e5a,8.23,7.9798503
3ebp,5.91,5.783117
3ejr,8.57,7.086625
3f3c,6.02,5.4681535
3f3d,7.16,5.8051467
3f3e,7.7,5.781954
3fcq,2.77,4.9487834
3g0w,9.52,8.977656
3gnw,9.1,7.685714
3gv9,2.12,2.7953594
3ivg,4.3,5.4403477
3jvr,5.72,5.6871977
3kr8,8.1,7.3744574
3kwa,4.08,4.8806663
3o9i,11.82,10.448509
3ozt,4.13,6.078978
3p5o,7.26,6.297359
3pyy,6.86,7.0565324
3qqs,5.82,4.801545
3r88,4.82,4.031879
3rlr,7.52,8.018072
3u9q,4.38,5.296184
3ui7,9.0,7.714901
3uri,9.0,6.876886
3zdg,7.1,6.26348
3zsx,3.28,3.7627661
3zt2,2.84,3.3021798
4agq,5.01,4.894702
4bkt,3.62,4.0997505
4de1,5.96,5.084448
4de2,4.12,5.1936855
4e5w,7.66,8.985343
4gr0,9.55,8.1546335
4ivc,10.0,8.999232
4ivd,9.52,8.930708
4jfs,5.27,6.277946
4jia,9.22,7.307899
4k18,8.96,8.172337
4kzq,6.1,6.340114
4kzu,6.5,6.800073
4owm,2.96,4.5814424
4pcs,7.85,6.485173
4qd6,8.64,7.7523556
4w9h,6.73,6.118224
4w9i,5.96,5.7990823
4wiv,6.26,6.5397563
5a7b,3.57,4.8382826
5c28,5.66,6.244059
5tmn,8.04,6.2547245
1a30,4.3,6.4489193
1e66,9.89,7.3576083
1gpk,5.37,7.1726756
1k1i,6.58,7.3226547
1lpg,7.09,7.8193603
1mq6,11.15,8.464945
1o3f,7.96,5.852447
1owh,7.4,5.9508176
1oyt,7.24,7.776628
1p1q,4.89,6.4258976
1pxn,7.15,6.274655
1qf1,7.32,6.6929564
1qkt,9.04,7.9089713
1s38,5.15,5.7557774
1syi,5.44,6.5782285
1uto,2.27,2.9575927
1ydr,5.52,6.339276
1ydt,7.32,6.5251646
1z6e,9.72,8.15765
1z95,7.12,8.379999
1z9g,5.64,5.0482054
2al5,8.4,6.3531322
2br1,5.14,7.141161
2brb,4.86,6.555115
2c3i,7.6,7.2331295
2cbv,5.48,6.5470643
2cet,8.02,7.2194204
2fvd,8.52,7.394226
2fxs,6.06,5.5088167
2hb1,3.8,4.515128
2iwx,6.68,6.175235
2j7h,7.19,6.4332194
2p15,10.3,8.046657
2p4y,9.0,7.08154
2pog,9.54,7.5514965
2qbr,6.33,5.6473913
2qnq,6.11,7.7788563
2v00,3.66,3.3915687
2vkm,8.74,7.9621286
2vvn,7.3,6.191496
2w4x,4.85,5.610977
2w66,4.05,5.6744757
2wca,5.6,6.398494
2wer,7.05,6.560995
2wn9,8.52,6.336537
2wnc,6.32,6.9493084
2wtv,8.74,8.002536
2wvt,6.12,6.0269766
2x00,11.33,8.285186
2xb8,7.59,5.6479926
2xj7,6.66,7.391881
2y5h,5.79,8.194077
2yfe,6.63,6.0805244
2yge,5.06,6.1788635
2yki,9.46,7.018069
2ymd,3.16,5.5887194
2zb1,6.32,7.3145843
2zcq,8.82,6.190072
2zy1,7.4,6.443293
3acw,4.76,6.413386
3ao4,2.07,3.4936113
3arq,6.4,5.570128
3b1m,8.48,6.8221188
3b68,8.4,8.319781
3bv9,5.36,7.561337
3cj4,6.51,6.3172436
3coy,6.02,6.6940465
3coz,5.57,5.5526495
3d4z,4.89,5.396482
3dx1,3.58,5.065096
3dx2,6.82,5.4502563
3e92,8.0,7.7417936
3e93,8.85,7.2961354
3ehy,5.85,6.9714727
3fur,8.0,6.6749697
3fv1,9.3,8.071505
3fv2,8.11,7.65382
3g2z,2.36,3.2892842
3g31,2.89,4.208149
3gbb,6.9,7.7019615
3gc5,7.26,6.701175
3ge7,8.7,7.454622
3gr2,2.52,2.8496394
3gy4,5.1,3.632664
3jvs,6.54,5.8843727
3jya,6.89,7.089353
3k5v,6.3,6.9663734
3kgp,2.57,3.124001
3mss,4.66,5.698389
3n76,6.85,5.842767
3n7a,3.7,4.91719
3n86,5.64,6.3118796
3nq9,4.03,4.5267916
3nx7,8.1,7.8189816
3oe4,7.47,6.155054
3oe5,6.88,5.976598
3ozs,5.33,6.489822
3prs,7.82,7.0155797
3pww,7.32,7.0280275
3qgy,7.8,7.9593925
3rr4,4.55,6.2510395
3rsx,4.41,5.5831017
3ryj,7.8,7.456696
3tsk,7.17,7.5654764
3twp,3.92,4.312574
3u5j,5.61,5.4828267
3u8k,8.66,7.1881514
3u8n,10.17,8.237291
3udh,2.85,3.5797858
3ueu,5.24,5.692812
3uev,5.89,6.0009212
3uew,6.31,6.213196
3uex,6.92,6.1934376
3uo4,6.52,7.3204193
3up2,7.4,7.2561502
3utu,10.92,8.462659
3uuo,7.96,7.489786
3wtj,6.53,7.3166304
3wz8,5.82,5.033785
3zso,5.12,4.606476
4abg,3.57,3.5323389
4agn,3.97,4.6308646
4agp,4.69,4.7686114
4cig,3.67,4.299126
4ciw,4.82,5.307162
4cr9,4.1,4.638089
4cra,7.22,7.97084
4crc,8.72,7.9797535
4ddh,3.3,3.5265808
4ddk,2.29,3.5268087
4djv,6.72,6.5027366
4dld,5.82,7.0735593
4e6q,8.36,7.933238
4ea2,6.44,6.7070684
4eo8,8.15,7.034614
4eor,6.3,6.947256
4f09,6.7,7.1051006
4f2w,11.3,9.997886
4f3c,11.82,10.143713
4f9w,6.94,7.1275363
4gfm,7.22,7.0061493
4gid,10.77,7.9477787
4gkm,5.17,4.648011
4hge,7.92,7.985381
4ih5,4.11,5.1169257
4ih7,5.24,5.194619
4ivb,8.72,8.976835
4j21,7.41,7.102502
4j28,5.7,6.7930574
4j3l,7.8,7.269681
4jxs,4.74,4.8473563
4k77,6.63,8.354775
4kz6,3.1,4.0570083
4llx,2.89,2.83115
4lzs,4.8,4.7872057
4m0y,6.46,6.742594
4mgd,4.69,6.530339
4mme,6.5,6.141492
4ogj,6.79,6.3213305
4qac,9.4,8.166644
4rfm,10.05,8.173808
4twp,10.0,7.231612
4ty7,9.52,8.284247
4w9c,4.65,5.2241373
4w9l,5.02,6.6052327
5aba,2.98,4.6042056
5c2h,11.09,8.62583
5dwr,11.22,9.121146
