id_name,true affinity,predict affinity
1c5z,4.01,3.9542046
1o5b,5.77,5.4136305
3aru,3.22,4.588255
3arv,5.64,5.180336
3ary,6.0,4.7852755
3d6q,3.76,4.2170963
3dxg,2.4,4.7121525
3f3a,4.19,5.0736504
3g2n,4.09,4.3991747
3l7b,2.4,4.135917
3nw9,9.0,7.8434553
3pxf,4.43,4.694321
3syr,5.1,4.5794983
4de3,5.52,4.4802217
4dli,5.62,5.8921742
4eky,3.52,5.1124997
4m0z,5.19,6.8412213
4u4s,2.92,5.7534857
4x6p,8.3,8.08956
1bcu,3.28,5.170597
1bzc,4.92,6.4074903
1eby,9.7,8.498141
1g2k,7.96,8.730762
1gpn,6.48,6.9952517
1h22,9.1,7.3711295
1h23,8.35,7.443078
1nvq,8.25,8.220254
1o0h,5.92,4.86948
1p1n,6.8,5.912146
1q8t,4.76,5.924535
1q8u,5.96,6.8671026
1r5y,6.46,5.6667557
1sqa,9.21,7.1058283
1u1b,7.8,6.4137583
1vso,4.72,6.981256
1w4o,5.22,4.7425766
1y6r,10.11,9.224929
1yc1,6.17,6.656868
2j78,6.42,5.7725344
2qbp,8.4,6.358671
2qbq,7.44,6.3415165
2qe4,7.96,8.211913
2r9w,5.1,4.916464
2v7a,8.3,7.4692135
2vw5,8.52,6.1568427
2wbg,4.45,6.534377
2weg,6.5,7.248515
2xbv,8.43,7.988201
2xdl,3.1,5.0663323
2xii,7.2,7.2889566
2xnb,6.83,6.3365088
2xys,7.42,7.5453763
2zcr,6.87,6.8588724
2zda,8.4,7.192047
3ag9,8.05,6.7420006
3arp,7.15,5.9222107
3b27,5.16,5.6163206
3b5r,8.77,8.372873
3b65,9.27,8.450379
3bgz,6.26,6.257954
3dd0,9.0,7.992372
3e5a,8.23,7.202382
3ebp,5.91,6.5025635
3ejr,8.57,7.662878
3f3c,6.02,4.881713
3f3d,7.16,5.225819
3f3e,7.7,5.29083
3fcq,2.77,4.2951283
3g0w,9.52,8.4901495
3gnw,9.1,7.7230163
3gv9,2.12,2.1165602
3ivg,4.3,5.7725163
3jvr,5.72,7.235463
3kr8,8.1,7.226837
3kwa,4.08,4.8478937
3myg,10.7,7.482802
3o9i,11.82,10.701309
3ozt,4.13,6.2617536
3p5o,7.26,6.168106
3pyy,6.86,6.940706
3qqs,5.82,4.870816
3r88,4.82,4.452562
3rlr,7.52,7.437867
3u9q,4.38,4.6017222
3ui7,9.0,8.049521
3uri,9.0,6.8802395
3zdg,7.1,5.232925
3zsx,3.28,3.4464824
3zt2,2.84,2.9962196
4agq,5.01,5.27814
4bkt,3.62,3.702382
4de1,5.96,4.437872
4de2,4.12,4.721738
4e5w,7.66,8.511421
4gr0,9.55,7.9977417
4ivc,10.0,8.660844
4ivd,9.52,8.688215
4jfs,5.27,6.3261805
4jia,9.22,7.4654655
4jsz,2.3,6.408722
4k18,8.96,8.092939
4kzq,6.1,6.2656918
4kzu,6.5,6.706953
4owm,2.96,4.449319
4pcs,7.85,6.925338
4qd6,8.64,7.9916945
4w9h,6.73,5.78909
4w9i,5.96,5.4993196
4wiv,6.26,6.3406315
5a7b,3.57,5.0982065
5c28,5.66,5.3067555
5tmn,8.04,6.2133865
1a30,4.3,5.6106334
1e66,9.89,7.087118
1gpk,5.37,7.02164
1k1i,6.58,6.8842516
1lpg,7.09,8.284974
1mq6,11.15,8.86895
1nc1,6.12,6.6989174
1nc3,5.0,6.943998
1o3f,7.96,6.1867
1owh,7.4,5.69819
1oyt,7.24,7.6704297
1p1q,4.89,6.224147
1ps3,2.28,5.59709
1pxn,7.15,5.8378444
1qf1,7.32,6.07716
1qkt,9.04,8.496282
1s38,5.15,5.7466044
1syi,5.44,5.963863
1uto,2.27,2.8746228
1ydr,5.52,6.6386485
1ydt,7.32,6.7246604
1z6e,9.72,8.85921
1z95,7.12,8.000699
1z9g,5.64,4.5021973
2al5,8.4,6.2225385
2br1,5.14,7.2220535
2brb,4.86,5.9959664
2c3i,7.6,7.343649
2cbv,5.48,6.466954
2cet,8.02,7.197164
2fvd,8.52,7.49062
2fxs,6.06,6.044353
2hb1,3.8,4.421311
2iwx,6.68,6.4590235
2j7h,7.19,6.724672
2p15,10.3,8.532592
2p4y,9.0,7.291374
2pog,9.54,7.7589703
2qbr,6.33,5.6342144
2qnq,6.11,7.7643127
2v00,3.66,3.0294044
2vkm,8.74,7.6692166
2vvn,7.3,6.5274825
2w4x,4.85,5.8106003
2w66,4.05,6.155003
2wca,5.6,6.897112
2wer,7.05,6.5740256
2wn9,8.52,6.7153664
2wnc,6.32,6.8783007
2wtv,8.74,7.9415455
2wvt,6.12,6.655977
2x00,11.33,8.144541
2xb8,7.59,5.8513045
2xj7,6.66,6.4385605
2y5h,5.79,7.700063
2yfe,6.63,5.8202925
2yge,5.06,6.054023
2yki,9.46,7.634057
2ymd,3.16,4.972011
2zb1,6.32,7.357039
2zcq,8.82,6.746279
2zy1,7.4,6.33699
3acw,4.76,6.214001
3ao4,2.07,3.5411863
3arq,6.4,5.5069366
3b1m,8.48,6.886239
3b68,8.4,8.087089
3bv9,5.36,7.061679
3cj4,6.51,6.130498
3coy,6.02,7.0204425
3coz,5.57,5.8005424
3d4z,4.89,5.513752
3dx1,3.58,5.1892133
3dx2,6.82,5.730931
3e92,8.0,8.180115
3e93,8.85,7.9510517
3ehy,5.85,6.898949
3fur,8.0,6.7256594
3fv1,9.3,8.302506
3fv2,8.11,7.677135
3g2z,2.36,2.9799273
3g31,2.89,4.762379
3gbb,6.9,7.5640864
3gc5,7.26,6.443537
3ge7,8.7,6.8473225
3gr2,2.52,2.0989392
3gy4,5.1,3.906045
3jvs,6.54,7.302809
3jya,6.89,6.994534
3k5v,6.3,7.029927
3kgp,2.57,2.7689521
3lka,2.82,6.2983513
3mss,4.66,5.6896834
3n76,6.85,5.1500587
3n7a,3.7,4.3261833
3n86,5.64,6.3412375
3nq9,4.03,4.0659413
3nx7,8.1,7.6369863
3oe4,7.47,6.418531
3oe5,6.88,6.2110453
3ozs,5.33,6.733945
3prs,7.82,7.170476
3pww,7.32,6.7673917
3qgy,7.8,7.8843274
3rr4,4.55,6.0481677
3rsx,4.41,4.6080794
3ryj,7.8,7.616911
3tsk,7.17,7.907407
3twp,3.92,4.2546334
3u5j,5.61,5.1966944
3u8k,8.66,6.655567
3u8n,10.17,7.4338837
3udh,2.85,3.5234709
3ueu,5.24,5.2275915
3uev,5.89,5.6364875
3uew,6.31,5.873327
3uex,6.92,6.122871
3uo4,6.52,7.1145544
3up2,7.4,7.0610805
3utu,10.92,8.708456
3uuo,7.96,7.8914995
3wtj,6.53,6.935998
3wz8,5.82,5.4608173
3zso,5.12,4.0934515
4abg,3.57,3.7136497
4agn,3.97,4.899638
4agp,4.69,5.0040045
4cig,3.67,4.121356
4ciw,4.82,4.8794823
4cr9,4.1,5.1881037
4cra,7.22,7.7893963
4crc,8.72,7.8829894
4ddh,3.3,3.3457046
4ddk,2.29,3.2071893
4djv,6.72,6.136421
4dld,5.82,7.0567274
4e6q,8.36,8.049508
4ea2,6.44,6.7454457
4eo8,8.15,7.2450542
4eor,6.3,6.899432
4f09,6.7,7.091775
4f2w,11.3,9.868742
4f3c,11.82,10.543456
4f9w,6.94,7.0728064
4gfm,7.22,6.4764214
4gid,10.77,7.7247915
4gkm,5.17,4.776673
4hge,7.92,7.8129525
4ih5,4.11,4.359633
4ih7,5.24,4.839345
4ivb,8.72,8.647351
4j21,7.41,7.0622125
4j28,5.7,6.913048
4j3l,7.8,7.2487016
4jxs,4.74,4.407859
4k77,6.63,8.203237
4kz6,3.1,2.9438312
4llx,2.89,3.0873046
4lzs,4.8,4.8470454
4m0y,6.46,6.63589
4mgd,4.69,6.1996984
4mme,6.5,5.2557178
4ogj,6.79,6.353216
4qac,9.4,7.3296328
4rfm,10.05,8.234869
4tmn,10.17,6.4122705
4twp,10.0,7.1709995
4ty7,9.52,8.249806
4w9c,4.65,5.189387
4w9l,5.02,6.321554
5aba,2.98,4.683157
5c2h,11.09,8.377318
5dwr,11.22,8.886417
