id_name,true affinity,predict affinity
10gs,6.4,5.402594
1a30,4.3,5.6106334
1bcu,3.28,5.1728506
1e66,9.89,7.087118
1f8b,5.4,4.599337
1f8c,7.4,5.8345323
1f8d,3.4,4.716382
1gpk,5.37,7.02164
1h23,8.35,7.443078
1hfs,8.7,8.0532465
1hnn,6.24,6.3545685
1igj,10.0,8.562947
1jyq,8.7,7.4537005
1kel,7.28,7.3343754
1lbk,3.18,4.086791
1lol,6.39,5.8736
1loq,3.7,5.688467
1lor,11.06,6.2180786
1mq6,11.15,8.86895
1n1m,5.7,6.0266247
1n2v,4.08,4.7944007
1nvq,8.25,8.220254
1o3f,7.96,6.1867
1o5b,5.77,5.4136305
1os0,6.03,6.179708
1oyt,7.24,7.659865
1p1q,4.89,6.187257
1ps3,2.28,5.59709
1q8t,4.76,5.924535
1q8u,5.96,6.8671026
1qi0,2.35,3.8741422
1r5y,6.46,5.6667557
1sln,6.64,7.049737
1sqa,9.21,7.1058283
1u1b,7.8,6.4137583
1u33,4.6,4.6372967
1uto,2.27,2.8746228
1vso,4.72,6.981256
1w3k,4.3,4.5376706
1w3l,6.28,4.5967946
1w4o,5.22,4.7425766
1xd0,7.12,6.00363
1yc1,6.17,6.656868
1z95,7.12,8.000699
1zea,5.22,7.044383
2brb,4.86,5.9959664
2cbj,8.27,7.252672
2cet,8.02,7.197164
2d1o,7.7,6.8500004
2d3u,6.92,6.604942
2fvd,8.52,7.49062
2g70,7.77,7.2300653
2gss,4.94,5.0966396
2hb1,3.8,4.421311
2iwx,6.68,6.4590235
2j62,11.34,8.754016
2j78,6.42,5.7725344
2jdm,5.4,5.712946
2jdu,6.72,5.765068
2jdy,4.37,5.6185017
2obf,8.85,7.607963
2ole,7.25,7.631983
2p4y,9.0,7.291374
2pcp,8.7,7.5690255
2pq9,8.11,6.853831
2qbp,8.4,6.358671
2qbr,6.33,5.6342144
2qft,5.26,4.2143664
2qmj,4.21,6.0246954
2r23,3.72,4.8620663
2v00,3.66,3.0294044
2v7a,8.3,7.4692135
2vl4,6.01,5.6560855
2vo5,4.89,5.9528165
2vot,7.14,7.1628222
2vvn,7.3,6.5274825
2vw5,8.52,6.1568427
2w66,4.05,6.155003
2wbg,4.45,6.534377
2wca,5.6,6.897112
2weg,6.5,7.248515
2wtv,8.74,7.9415455
2x00,11.33,8.144541
2x0y,4.6,4.703389
2x8z,7.96,6.128816
2x97,5.66,5.866552
2xb8,7.59,5.8513045
2xbv,8.43,8.005544
2xdl,3.1,5.0663323
2xhm,6.8,5.799009
2xnb,6.83,6.3365088
2xy9,9.19,8.151381
2xys,7.42,7.4147086
2y5h,5.79,7.711222
2yfe,6.63,5.8202925
2yge,5.06,6.054023
2yki,9.46,7.634057
2ymd,3.16,4.972011
2zcq,8.82,6.746279
2zcr,6.87,6.8588724
2zjw,7.7,7.10435
2zwz,7.79,7.573655
2zx6,10.6,9.559036
2zxd,5.22,6.7737255
3acw,4.76,6.1103296
3ag9,8.05,6.7420006
3ao4,2.07,3.5411863
3b3s,2.55,4.1567297
3b3w,4.19,4.5310774
3b68,8.4,8.087089
3bfu,6.27,6.2889814
3bkk,6.08,7.7437024
3bpc,4.8,5.355776
3cft,4.19,5.285098
3cj2,4.85,5.514085
3coy,6.02,7.0204425
3cyx,8.0,7.5906944
3d4z,4.89,5.513752
3dd0,9.0,7.992372
3dxg,2.4,4.7121525
3e93,8.85,7.9510517
3ebp,5.91,6.5127053
3ehy,5.85,6.898949
3ejr,8.57,7.382038
3f17,8.63,7.329381
3f3a,4.19,4.926297
3f3c,6.02,4.881713
3f3e,7.7,5.29083
3f80,4.22,4.860206
3fcq,2.77,4.2951283
3fk1,2.62,4.1443086
3fv1,9.3,8.302506
3g0w,9.52,8.4901495
3g2n,4.09,4.3991747
3g2z,2.36,2.9799273
3gbb,6.9,7.5640864
3gcs,7.25,7.440763
3ge7,8.7,6.8473225
3gnw,9.1,7.7230163
3gy4,5.1,3.906045
3huc,5.99,6.999976
3i3b,2.23,3.3632343
3imc,2.96,2.8355727
3ivg,4.3,5.7725163
3jvs,6.54,7.302809
3k5v,6.3,7.029927
3kgp,2.57,2.7689521
3kv2,7.32,5.200492
3kwa,4.08,4.8478937
3l3n,8.18,8.039469
3l4u,7.52,6.0783615
3l4w,6.0,5.9703293
3l7b,2.4,4.3095164
3lka,2.82,6.2983513
3mfv,2.52,3.767862
3mss,4.66,5.6896834
3muz,3.46,3.7606797
3myg,10.7,7.4596868
3n7a,3.7,4.3261833
3n86,5.64,6.3412375
3nox,8.66,8.241427
3nq3,3.78,4.6851344
3nw9,9.0,7.8434553
3oe5,6.88,6.2110453
3ov1,5.2,6.2348833
3owj,6.07,7.489389
3ozt,4.13,6.2617536
3pe2,9.76,7.815198
3pww,7.32,6.850696
3pxf,4.43,4.694321
3s8o,6.85,6.4705505
3su2,7.35,7.5638785
3su3,9.13,7.597534
3su5,5.58,7.3444967
3u9q,4.38,4.6017222
3udh,2.85,3.5234709
3ueu,5.24,5.2275915
3uex,6.92,6.122871
3uo4,6.52,7.1145544
3uri,9.0,6.8802395
3utu,10.92,8.755821
3vd4,4.82,3.74954
3vh9,6.24,4.903088
3zso,5.12,4.131862
3zsx,3.28,3.456196
4de1,5.96,4.437872
4de2,4.12,4.5481997
4des,5.85,6.223072
4dew,7.0,6.055517
4djr,11.52,9.515
4djv,6.72,6.398162
4g8m,7.89,6.030606
4gid,10.77,7.7247915
4gqq,2.89,3.271344
4tmn,10.17,6.4122705
